,tran_0,tran_0_fb_terms,tran_1,tran_1_fb_docs,map
0,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,0.35792672739003323
1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",2,0.3871810076178801
2,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",3,0.39838092831717764
3,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",4,0.3906280235782619
4,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",5,0.3834090709716599
5,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",6,0.38535912241859727
6,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",7,0.39386872036583404
7,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",8,0.3962869582148042
8,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",9,0.37226700540894603
9,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.QueryExpansion at 0x7f0f2348fa10 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3c93010 at 0x7f0f23467390>>)",1,0.3604105394611847
