,tran_0,tran_0_bm25.b,tran_1,tran_1_bm25.k_1,map
0,BR(BM25),0.0,BR(BM25),0.3,0.3687102733496481
1,BR(BM25),0.0,BR(BM25),0.6,0.3696615084663585
2,BR(BM25),0.0,BR(BM25),0.9,0.37535687961904834
3,BR(BM25),0.0,BR(BM25),1.2,0.37148337444313534
4,BR(BM25),0.0,BR(BM25),1.4,0.369114244581951
5,BR(BM25),0.0,BR(BM25),1.6,0.367628758144429
6,BR(BM25),0.0,BR(BM25),2.0,0.3652161951732533
7,BR(BM25),0.1,BR(BM25),0.3,0.37523415725702747
8,BR(BM25),0.1,BR(BM25),0.6,0.3806598008401217
9,BR(BM25),0.1,BR(BM25),0.9,0.38432638120917695
10,BR(BM25),0.1,BR(BM25),1.2,0.38035715773513273
11,BR(BM25),0.1,BR(BM25),1.4,0.3776017907518538
12,BR(BM25),0.1,BR(BM25),1.6,0.37541295023279003
13,BR(BM25),0.1,BR(BM25),2.0,0.3713695414399456
14,BR(BM25),0.2,BR(BM25),0.3,0.38153651381101805
15,BR(BM25),0.2,BR(BM25),0.6,0.3892093401696013
16,BR(BM25),0.2,BR(BM25),0.9,0.3920302821465392
17,BR(BM25),0.2,BR(BM25),1.2,0.38667448899529755
18,BR(BM25),0.2,BR(BM25),1.4,0.3832293050882349
19,BR(BM25),0.2,BR(BM25),1.6,0.38010655178429986
20,BR(BM25),0.2,BR(BM25),2.0,0.37440913820587146
21,BR(BM25),0.3,BR(BM25),0.3,0.38922689529923765
22,BR(BM25),0.3,BR(BM25),0.6,0.3964353914481923
23,BR(BM25),0.3,BR(BM25),0.9,0.402149877489529
24,BR(BM25),0.3,BR(BM25),1.2,0.40298164887847654
25,BR(BM25),0.3,BR(BM25),1.4,0.3932707098507224
26,BR(BM25),0.3,BR(BM25),1.6,0.39197574140057756
27,BR(BM25),0.3,BR(BM25),2.0,0.38451727461224394
28,BR(BM25),0.4,BR(BM25),0.3,0.394847352493014
29,BR(BM25),0.4,BR(BM25),0.6,0.40171135352361703
30,BR(BM25),0.4,BR(BM25),0.9,0.4088237249246783
31,BR(BM25),0.4,BR(BM25),1.2,0.40478472067604854
32,BR(BM25),0.4,BR(BM25),1.4,0.4006127592304318
33,BR(BM25),0.4,BR(BM25),1.6,0.39378634238278226
34,BR(BM25),0.4,BR(BM25),2.0,0.3888920675057567
35,BR(BM25),0.5,BR(BM25),0.3,0.39615812833167163
36,BR(BM25),0.5,BR(BM25),0.6,0.4031836243775838
37,BR(BM25),0.5,BR(BM25),0.9,0.4045662665801491
38,BR(BM25),0.5,BR(BM25),1.2,0.40276926763005344
39,BR(BM25),0.5,BR(BM25),1.4,0.4024220314789468
40,BR(BM25),0.5,BR(BM25),1.6,0.4002523847374084
41,BR(BM25),0.5,BR(BM25),2.0,0.39151782230107196
42,BR(BM25),0.6,BR(BM25),0.3,0.39182399941895774
43,BR(BM25),0.6,BR(BM25),0.6,0.39848715771163035
44,BR(BM25),0.6,BR(BM25),0.9,0.400263665745425
45,BR(BM25),0.6,BR(BM25),1.2,0.4001698925588614
46,BR(BM25),0.6,BR(BM25),1.4,0.3984639259307453
47,BR(BM25),0.6,BR(BM25),1.6,0.39442171385930413
48,BR(BM25),0.6,BR(BM25),2.0,0.3903006586974718
49,BR(BM25),0.7,BR(BM25),0.3,0.38753733971772525
50,BR(BM25),0.7,BR(BM25),0.6,0.3932546418370422
51,BR(BM25),0.7,BR(BM25),0.9,0.39379728443780315
52,BR(BM25),0.7,BR(BM25),1.2,0.39471140790292736
53,BR(BM25),0.7,BR(BM25),1.4,0.39352781437597384
54,BR(BM25),0.7,BR(BM25),1.6,0.3912220021038512
55,BR(BM25),0.7,BR(BM25),2.0,0.38756842463067614
56,BR(BM25),0.8,BR(BM25),0.3,0.38122951780249376
57,BR(BM25),0.8,BR(BM25),0.6,0.3870031327806632
58,BR(BM25),0.8,BR(BM25),0.9,0.39193870671737185
59,BR(BM25),0.8,BR(BM25),1.2,0.392372600369716
60,BR(BM25),0.8,BR(BM25),1.4,0.3886808705158763
61,BR(BM25),0.8,BR(BM25),1.6,0.3870398779345522
62,BR(BM25),0.8,BR(BM25),2.0,0.3867461232184632
63,BR(BM25),0.9,BR(BM25),0.3,0.3767981270447916
64,BR(BM25),0.9,BR(BM25),0.6,0.382323448683916
65,BR(BM25),0.9,BR(BM25),0.9,0.38279633870675567
66,BR(BM25),0.9,BR(BM25),1.2,0.3803808129443227
67,BR(BM25),0.9,BR(BM25),1.4,0.37923371308854653
68,BR(BM25),0.9,BR(BM25),1.6,0.3772968123338781
69,BR(BM25),0.9,BR(BM25),2.0,0.3722220783764289
70,BR(BM25),1.0,BR(BM25),0.3,0.3755858955452741
71,BR(BM25),1.0,BR(BM25),0.6,0.3790256595339692
72,BR(BM25),1.0,BR(BM25),0.9,0.38033669834491285
73,BR(BM25),1.0,BR(BM25),1.2,0.3808608766520851
74,BR(BM25),1.0,BR(BM25),1.4,0.37190451239110944
75,BR(BM25),1.0,BR(BM25),1.6,0.3675282553361201
76,BR(BM25),1.0,BR(BM25),2.0,0.3631156276519986
